"id_fechaExamen";"fechaExamen";"id_turno";"id_materia";"createdAt";"updatedAt";"id_condicion"
1;"2024-04-17 08:00:00";1;225;"2024-04-17 08:00:00";"2024-04-17 08:00:00";1
2;"2024-04-17 08:00:00";1;235;"2024-04-17 08:00:00";"2024-04-17 08:00:00";1
3;"2024-04-18 08:00:00";1;258;"2024-04-18 08:00:00";"2024-04-18 08:00:00";1
4;"2024-04-18 08:00:00";1;272;"2024-04-18 08:00:00";"2024-04-18 08:00:00";1
5;"2024-04-19 08:00:00";1;221;"2024-04-19 08:00:00";"2024-04-19 08:00:00";1
6;"2024-04-19 08:00:00";1;232;"2024-04-19 08:00:00";"2024-04-19 08:00:00";1
7;"2024-04-19 08:00:00";1;281;"2024-04-19 08:00:00";"2024-04-19 08:00:00";1
8;"2024-04-19 08:00:00";1;207;"2024-04-19 08:00:00";"2024-04-19 08:00:00";1
9;"2024-04-22 13:00:00";1;223;"2024-04-22 13:00:00";"2024-04-22 13:00:00";1
10;"2024-04-29 13:00:00";1;233;"2024-04-29 13:00:00";"2024-04-29 13:00:00";1
11;"2024-04-22 13:00:00";1;237;"2024-04-22 13:00:00";"2024-04-22 13:00:00";1
12;"2024-04-22 13:00:00";1;243;"2024-04-22 13:00:00";"2024-04-22 13:00:00";1
13;"2024-04-29 13:00:00";1;244;"2024-04-29 13:00:00";"2024-04-29 13:00:00";1
14;"2024-04-23 08:00:00";1;220;"2024-04-23 08:00:00";"2024-04-23 08:00:00";1
15;"2024-04-23 08:00:00";1;230;"2024-04-23 08:00:00";"2024-04-23 08:00:00";1
16;"2024-04-23 08:00:00";1;240;"2024-04-23 08:00:00";"2024-04-23 08:00:00";1
17;"2024-04-23 08:00:00";1;265;"2024-04-23 08:00:00";"2024-04-23 08:00:00";1
18;"2024-04-24 13:00:00";1;224;"2024-04-24 13:00:00";"2024-04-24 13:00:00";1
19;"2024-04-24 13:00:00";1;234;"2024-04-24 13:00:00";"2024-04-24 13:00:00";1
20;"2024-04-24 13:00:00";1;256;"2024-04-24 13:00:00";"2024-04-24 13:00:00";1
21;"2024-04-24 13:00:00";1;187;"2024-04-24 13:00:00";"2024-04-24 13:00:00";1
22;"2024-04-29 13:00:00";1;219;"2024-04-29 13:00:00";"2024-04-29 13:00:00";1
23;"2024-04-29 13:00:00";1;229;"2024-04-29 13:00:00";"2024-04-29 13:00:00";1
24;"2024-04-29 13:00:00";1;155;"2024-04-29 13:00:00";"2024-11-26 14:24:52";1
25;"2024-04-29 13:00:00";1;239;"2024-04-29 13:00:00";"2024-04-29 13:00:00";1
26;"2024-04-29 13:00:00";1;279;"2024-04-29 13:00:00";"2024-11-21 15:43:11";1
27;"2024-04-29 13:00:00";1;260;"2024-04-29 13:00:00";"2024-04-29 13:00:00";1
28;"2024-04-29 13:00:00";1;259;"2024-04-29 13:00:00";"2024-11-26 14:44:25";1
29;"2024-04-29 13:00:00";1;273;"2024-04-29 13:00:00";"2024-04-29 13:00:00";1
30;"2024-04-29 13:00:00";1;285;"2024-04-29 13:00:00";"2024-04-29 13:00:00";1
31;"2024-04-29 13:00:00";1;289;"2024-04-29 13:00:00";"2024-04-29 13:00:00";1
32;"2024-04-29 13:00:00";1;287;"2024-04-29 13:00:00";"2024-04-29 13:00:00";1
33;"2024-04-29 13:00:00";1;286;"2024-04-29 13:00:00";"2024-04-29 13:00:00";1
34;"2024-04-29 13:00:00";1;288;"2024-04-29 13:00:00";"2024-04-29 13:00:00";1
35;"2024-04-29 13:00:00";1;290;"2024-04-29 13:00:00";"2024-04-29 13:00:00";1
36;"2024-07-01 08:00:00";2;221;"2024-07-01 08:00:00";"2024-07-01 08:00:00";1
37;"2024-07-01 08:00:00";2;220;"2024-07-01 08:00:00";"2024-07-01 08:00:00";1
38;"2024-07-01 08:00:00";2;232;"2024-07-01 08:00:00";"2024-07-01 08:00:00";1
39;"2024-07-01 08:00:00";2;230;"2024-07-01 08:00:00";"2024-07-01 08:00:00";1
40;"2024-07-01 08:00:00";2;249;"2024-07-01 08:00:00";"2024-07-01 08:00:00";1
41;"2024-07-01 08:00:00";2;240;"2024-07-01 08:00:00";"2024-07-01 08:00:00";1
42;"2024-07-01 08:00:00";2;253;"2024-07-01 08:00:00";"2024-07-01 08:00:00";1
43;"2024-07-01 08:00:00";2;252;"2024-07-01 08:00:00";"2024-07-01 08:00:00";1
44;"2024-07-01 08:00:00";2;272;"2024-07-01 08:00:00";"2024-07-01 08:00:00";1
45;"2024-07-01 08:00:00";2;265;"2024-07-01 08:00:00";"2024-07-01 08:00:00";1
46;"2024-07-01 08:00:00";2;291;"2024-07-01 08:00:00";"2024-07-01 08:00:00";1
47;"2024-07-01 08:00:00";2;280;"2024-07-01 08:00:00";"2024-07-01 08:00:00";1
48;"2024-07-01 08:00:00";2;281;"2024-07-01 08:00:00";"2024-07-01 08:00:00";1
49;"2024-07-01 13:00:00";2;237;"2024-07-01 13:00:00";"2024-07-01 13:00:00";1
50;"2024-07-01 13:00:00";2;244;"2024-07-01 13:00:00";"2024-07-01 13:00:00";1
51;"2024-07-02 13:00:00";2;274;"2024-07-02 13:00:00";"2024-07-02 13:00:00";1
52;"2024-07-02 13:00:00";2;275;"2024-07-02 13:00:00";"2024-07-02 13:00:00";1
53;"2024-07-01 13:00:00";2;292;"2024-07-01 13:00:00";"2024-07-01 13:00:00";1
54;"2024-07-02 08:00:00";2;225;"2024-07-02 08:00:00";"2024-07-02 08:00:00";1
55;"2024-07-02 08:00:00";2;219;"2024-07-02 08:00:00";"2024-07-02 08:00:00";1
56;"2024-07-02 08:00:00";2;235;"2024-07-02 08:00:00";"2024-07-02 08:00:00";1
57;"2024-07-02 08:00:00";2;234;"2024-07-02 08:00:00";"2024-07-02 08:00:00";1
58;"2024-07-02 08:00:00";2;229;"2024-07-02 08:00:00";"2024-07-02 08:00:00";1
59;"2024-07-02 08:00:00";2;245;"2024-07-02 08:00:00";"2024-07-02 08:00:00";1
60;"2024-07-02 08:00:00";2;239;"2024-07-02 08:00:00";"2024-07-02 08:00:00";1
61;"2024-07-02 08:00:00";2;251;"2024-07-02 08:00:00";"2024-07-02 08:00:00";1
62;"2024-07-02 08:00:00";2;263;"2024-07-02 08:00:00";"2024-07-02 08:00:00";1
63;"2024-07-02 08:00:00";2;279;"2024-07-02 08:00:00";"2024-07-02 08:00:00";1
64;"2024-07-02 13:00:00";2;260;"2024-07-02 13:00:00";"2024-07-02 13:00:00";1
65;"2024-07-02 13:00:00";2;259;"2024-07-02 13:00:00";"2024-07-02 13:00:00";1
66;"2024-07-02 13:00:00";2;277;"2024-07-02 13:00:00";"2024-07-02 13:00:00";1
67;"2024-07-02 13:00:00";2;273;"2024-07-02 13:00:00";"2024-07-02 13:00:00";1
68;"2024-07-02 13:00:00";2;285;"2024-07-02 13:00:00";"2024-07-02 13:00:00";1
69;"2024-07-02 13:00:00";2;286;"2024-07-02 13:00:00";"2024-07-02 13:00:00";1
70;"2024-07-02 13:00:00";2;288;"2024-07-02 13:00:00";"2024-07-02 13:00:00";1
71;"2024-07-02 13:00:00";2;290;"2024-07-02 13:00:00";"2024-07-02 13:00:00";1
72;"2024-04-17 08:00:00";1;225;"2024-04-17 08:00:00";"2024-04-17 08:00:00";2
73;"2024-04-17 08:00:00";1;235;"2024-04-17 08:00:00";"2024-04-17 08:00:00";2
74;"2024-04-18 08:00:00";1;258;"2024-04-18 08:00:00";"2024-04-18 08:00:00";2
75;"2024-04-18 08:00:00";1;272;"2024-04-18 08:00:00";"2024-04-18 08:00:00";2
