"id_ciclo";"anio";"createdAt";"updatedAt"
1;1968;"2024-05-12 00:00:00";"2024-05-12 00:00:00"
2;1969;"2024-05-12 00:00:00";"2024-05-12 00:00:00"
3;1970;"2024-05-12 00:00:00";"2024-05-12 00:00:00"
4;1971;"2024-05-12 00:00:00";"2024-05-12 00:00:00"
5;1972;"2024-05-12 00:00:00";"2024-05-12 00:00:00"
6;1973;"2024-05-12 00:00:00";"2024-05-12 00:00:00"
7;1974;"2024-05-12 00:00:00";"2024-05-12 00:00:00"
8;1975;"2024-05-12 00:00:00";"2024-05-12 00:00:00"
9;1976;"2024-05-12 00:00:00";"2024-05-12 00:00:00"
10;1977;"2024-05-12 00:00:00";"2024-05-12 00:00:00"
11;1978;"2024-05-12 00:00:00";"2024-05-12 00:00:00"
12;1979;"2024-05-12 00:00:00";"2024-05-13 00:00:00"
13;1980;"2024-05-12 00:00:00";"2024-05-12 00:00:00"
14;1981;"2024-05-12 00:00:00";"2024-05-12 00:00:00"
15;1982;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
16;1983;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
17;1984;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
18;1985;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
19;1986;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
20;1987;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
21;1988;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
22;1989;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
23;1990;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
24;1991;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
25;1992;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
26;1993;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
27;1994;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
28;1995;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
29;1996;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
30;1997;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
31;1998;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
32;1999;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
33;2000;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
34;2001;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
35;2002;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
36;2003;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
37;2004;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
38;2005;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
39;2006;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
40;2007;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
41;2008;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
42;2009;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
43;2010;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
44;2011;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
45;2012;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
46;2013;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
47;2014;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
48;2015;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
49;2016;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
50;2017;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
51;2018;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
52;2019;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
53;2020;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
54;2021;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
55;2022;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
56;2023;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
57;2024;"2024-05-12 00:00:00";"2024-05-14 00:00:00"
