"id_curso";"id_plan";"nombre";"createdAt";"updatedAt"
1;1;"1º";"2024-09-04 00:00:00";"2024-09-04 00:00:00"
2;1;"2º";"2024-09-04 00:00:00";"2024-09-04 00:00:00"
3;1;"3º";"2024-09-04 00:00:00";"2024-09-04 00:00:00"
4;1;"4º";"2024-09-04 00:00:00";"2024-09-04 00:00:00"
5;1;"5º";"2024-09-04 00:00:00";"2024-09-04 00:00:00"
6;2;"1º";"2024-09-04 00:00:00";"2024-09-04 00:00:00"
7;2;"2º";"2024-09-04 00:00:00";"2024-09-04 00:00:00"
8;2;"3º";"2024-09-04 00:00:00";"2024-09-04 00:00:00"
9;2;"4º";"2024-09-04 00:00:00";"2024-09-04 00:00:00"
10;2;"5º";"2024-09-04 00:00:00";"2024-09-04 00:00:00"
11;3;"1º";"2024-09-04 00:00:00";"2024-09-04 00:00:00"
12;3;"2º";"2024-09-04 00:00:00";"2024-09-04 00:00:00"
13;3;"3º";"2024-09-04 00:00:00";"2024-09-04 00:00:00"
14;4;"4º";"2024-09-04 00:00:00";"2024-09-04 00:00:00"
15;4;"5º";"2024-09-04 00:00:00";"2024-09-04 00:00:00"
16;4;"6º";"2024-09-04 00:00:00";"2024-09-04 00:00:00"
17;5;"1º";"2024-09-04 00:00:00";"2024-09-04 00:00:00"
18;5;"2º";"2024-09-04 00:00:00";"2024-09-04 00:00:00"
19;5;"3º";"2024-09-04 00:00:00";"2024-09-04 00:00:00"
20;6;"4º";"2024-09-04 00:00:00";"2024-09-04 00:00:00"
21;6;"5º";"2024-09-04 00:00:00";"2024-09-04 00:00:00"
22;6;"6º";"2024-09-04 00:00:00";"2024-09-04 00:00:00"
