"id_materia";"nombre";"area";"id_curso";"createdAt";"updatedAt"
1;"CASTELLANO";"";1;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
2;"INGLÉS";"";1;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
3;"MATEMÁTICA";"";1;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
4;"BOTÁNICA";"";1;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
5;"HISTORIA";"";1;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
6;"GEOGRAFÍA";"";1;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
7;"CONTABLIDAD";"";1;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
8;"E.R.S.A.";"";1;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
9;"MÚSICA";"";1;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
10;"CALIGRAFÍA Y DIBUJO";"";1;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
11;"EDUCACIÓN FÍSICA";"";1;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
12;"CASTELLANO";"";2;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
13;"INGLÉS";"";2;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
14;"MATEMÁTICA";"";2;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
15;"ZOOLOGÍA";"";2;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
16;"HISTORIA";"";2;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
17;"GEOGRAFÍA";"";2;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
18;"CONTABLIDAD";"";2;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
19;"E.R.S.A.";"";2;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
20;"MÚSICA";"";2;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
21;"CALIGRAFÍA";"";2;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
22;"EDUCACIÓN FÍSICA";"";2;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
23;"CASTELLANO";"";3;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
24;"INGLÉS";"";3;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
25;"MATEMÁTICA";"";3;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
26;"ANATOMÍA";"";3;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
27;"HISTORIA";"";3;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
28;"GEOGRAFÍA";"";3;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
29;"ELEMENTOS DE FÍSICA Y QUÍMICA";"";3;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
30;"CONTABLIDAD";"";3;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
31;"INSTRUCCIÓN CÍVICA";"";3;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
32;"MECANOGRAFÍA";"";3;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
33;"GABINETE DE CONTABILIDAD";"";3;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
34;"EDUCACIÓN FÍSICA";"";3;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
35;"LITERATURA";"";4;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
36;"INGLÉS";"";4;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
37;"MATEMÁTICA";"";4;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
38;"HIGIENE";"";4;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
39;"GEOGRAFÍA";"";4;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
40;"FÍSICA";"";4;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
41;"MERCEOLOGÍA";"";4;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
42;"CONTABLIDAD";"";4;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
43;"DERECHO USUAL";"";4;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
44;"MECANOGRAFÍA";"";4;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
45;"ESTENOGRAFÍA";"";4;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
46;"GABINETE DE CONTABILIDAD";"";4;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
47;"EDUCACIÓN FÍSICA";"";4;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
48;"INGLÉS";"";5;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
49;"MATEMÁTICA FINANCIERA";"";5;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
50;"MERCEOLOGÍA";"";5;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
51;"GEOGRAFÍA ECONÓMICA";"";5;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
52;"DERECHO COMERCIAL";"";5;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
53;"ECONOMÍA POLÍTICA";"";5;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
54;"ORGANIZACIÓN DEL COMERCIO Y DE LA EMPRESA";"";5;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
55;"DERECHO ADMINISTRATIVO Y LEGISLACIÓN FISCAL";"";5;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
56;"ESTENOGRAFÍA";"";5;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
57;"MECANOGRAFÍA";"";5;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
58;"CONTABLIDAD";"";5;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
59;"EDUCACIÓN FÍSICA";"";5;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
60;"GABINETE DE CONTABILIDAD";"";5;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
61;"CASTELLANO";"";6;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
62;"HISTORIA";"";6;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
63;"GEOGRAFÍA";"";6;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
64;"EDUCACIÓN CÍVICA";"";6;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
65;"CULTURA MUSICAL";"";6;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
66;"EDUCACIÓN PLÁSTICA";"";6;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
67;"CALIGRAFÍA";"";6;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
68;"MATEMÁTICA";"";6;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
69;"CIENCIAS BIOLÓGICAS";"";6;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
70;"INGLÉS";"";6;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
71;"CONTABLIDAD";"";6;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
72;"EDUCACIÓN FÍSICA";"";6;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
73;"CASTELLANO";"";7;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
74;"HISTORIA";"";7;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
75;"GEOGRAFÍA";"";7;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
76;"EDUCACIÓN CÍVICA";"";7;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
77;"CULTURA MUSICAL";"";7;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
78;"EDUCACIÓN PLÁSTICA";"";7;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
79;"MATEMÁTICA";"";7;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
80;"CIENCIAS BIOLÓGICAS";"";7;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
81;"INGLÉS";"";7;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
82;"MECANOGRAFÍA";"";7;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
83;"CONTABLIDAD";"";7;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
84;"EDUCACIÓN FÍSICA";"";7;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
85;"CASTELLANO";"";8;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
86;"HISTORIA";"";8;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
87;"GEOGRAFÍA";"";8;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
88;"EDUCACIÓN CÍVICA";"";8;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
89;"CULTURA MUSICAL";"";8;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
90;"MATEMÁTICA";"";8;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
91;"CIENCIAS BIOLÓGICAS";"";8;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
92;"FÍSICA";"";8;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
93;"INGLÉS";"";8;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
94;"MECANOGRAFÍA";"";8;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
95;"PRRÁCTICA CONTABLE";"";8;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
96;"INFORMÁTICA";"";8;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
97;"CONTABLIDAD";"";8;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
98;"EDUCACIÓN FÍSICA";"";8;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
99;"HISTORIA";"";9;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
100;"GEOGRAFÍA";"";9;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
101;"FORMACIÓN CÍVICA";"";9;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
102;"LITERATURA";"";9;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
103;"PSICOLOGÍA";"";9;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
104;"MATEMÁTICA";"";9;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
105;"EDUCACIÓN PARA LA SALUD";"";9;"2024-09-04 00:00:00";"2024-09-04 00:00:00"
