"id_inscripcion_curso";"id_ciclo";"id_plan";"id_curso";"id_division";"id_alumno";"createdAt";"updatedAt"
1;57;5;17;1;822;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
2;57;5;17;1;70;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
3;57;5;17;1;71;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
4;57;5;17;1;823;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
5;57;5;17;1;824;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
6;57;5;17;1;825;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
7;57;5;17;1;826;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
8;57;5;17;1;827;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
9;57;5;17;1;277;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
10;57;5;17;1;828;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
11;57;5;17;1;829;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
12;57;5;17;1;830;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
13;57;5;17;1;831;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
14;57;5;17;1;832;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
15;57;5;17;1;833;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
16;57;5;17;1;834;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
17;57;5;17;1;835;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
18;57;5;17;1;836;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
19;57;5;17;1;837;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
20;57;5;17;1;838;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
21;57;5;17;1;839;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
22;57;5;17;1;840;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
23;57;5;17;1;653;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
24;57;5;17;1;841;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
25;57;5;17;1;842;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
26;57;5;17;1;843;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
27;57;5;17;1;844;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
28;57;5;17;1;845;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
29;57;5;17;1;846;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
30;57;5;17;1;847;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
31;57;5;17;2;17;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
32;57;5;17;2;848;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
33;57;5;17;2;849;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
34;57;5;17;2;850;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
35;57;5;17;2;851;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
36;57;5;17;2;852;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
37;57;5;17;2;853;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
38;57;5;17;2;854;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
39;57;5;17;2;855;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
40;57;5;17;2;234;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
41;57;5;17;2;856;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
42;57;5;17;2;857;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
43;57;5;17;2;858;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
44;57;5;17;2;859;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
45;57;5;17;2;860;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
46;57;5;17;2;861;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
47;57;5;17;2;862;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
48;57;5;17;2;863;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
49;57;5;17;2;864;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
50;57;5;17;2;865;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
51;57;5;17;2;866;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
52;57;5;17;2;867;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
53;57;5;17;2;868;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
54;57;5;17;2;869;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
55;57;5;17;2;870;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
56;57;5;17;2;871;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
57;57;5;17;2;872;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
58;57;5;17;2;873;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
59;57;5;17;2;874;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
60;57;5;17;2;875;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
61;57;5;17;3;876;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
62;57;5;17;3;877;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
63;57;5;17;3;878;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
64;57;5;17;3;879;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
65;57;5;17;3;880;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
66;57;5;17;3;881;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
67;57;5;17;3;882;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
68;57;5;17;3;883;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
69;57;5;17;3;884;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
70;57;5;17;3;885;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
71;57;5;17;3;886;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
72;57;5;17;3;887;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
73;57;5;17;3;888;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
74;57;5;17;3;889;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
75;57;5;17;3;890;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
76;57;5;17;3;891;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
77;57;5;17;3;892;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
78;57;5;17;3;893;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
79;57;5;17;3;894;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
80;57;5;17;3;895;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
81;57;5;17;3;896;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
82;57;5;17;3;897;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
83;57;5;17;3;898;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
84;57;5;17;3;899;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
85;57;5;17;3;900;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
86;57;5;17;3;901;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
87;57;5;17;3;902;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
88;57;5;17;3;903;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
89;57;5;17;3;904;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
90;57;5;17;3;905;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
91;57;5;17;3;906;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
92;57;5;17;3;907;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
93;57;5;17;3;908;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
94;57;5;17;3;909;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
95;57;5;18;1;55;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
96;57;5;18;1;68;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
97;57;5;18;1;77;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
98;57;5;18;1;100;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
99;57;5;18;1;125;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
100;57;5;18;1;147;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
101;57;5;18;1;148;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
102;57;5;18;1;153;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
103;57;5;18;1;172;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
104;57;5;18;1;181;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
105;57;5;18;1;193;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
106;57;5;18;1;216;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
107;57;5;18;1;220;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
108;57;5;18;1;230;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
109;57;5;18;1;266;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
110;57;5;18;1;301;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
111;57;5;18;1;328;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
112;57;5;18;1;332;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
113;57;5;18;1;353;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
114;57;5;18;1;387;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
115;57;5;18;1;910;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
116;57;5;18;1;423;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
117;57;5;18;1;425;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
118;57;5;18;1;431;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
119;57;5;18;1;911;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
120;57;5;18;1;449;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
121;57;5;18;1;453;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
122;57;5;18;1;588;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
123;57;5;18;1;625;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
124;57;5;18;1;629;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
125;57;5;18;1;650;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
126;57;5;18;1;715;"2024-12-02 00:00:00";"2024-12-02 00:00:00"
