"id_calificacion";"calificacion";"aprobado";"createdAt";"updatedAt"
1;"";0;"2024-04-27 00:00:00";"2024-04-27 00:00:00"
2;"Aus.";0;"2024-04-27 00:00:00";"2024-04-27 00:00:00"
3;"1";0;"2024-04-27 00:00:00";"2024-04-27 00:00:00"
4;"2";0;"2024-04-27 00:00:00";"2024-04-27 00:00:00"
5;"3";0;"2024-04-27 00:00:00";"2024-04-27 00:00:00"
6;"4";0;"2024-04-27 00:00:00";"2024-04-27 00:00:00"
7;"5";0;"2024-04-27 00:00:00";"2024-04-27 00:00:00"
8;"6";0;"2024-04-27 00:00:00";"2024-04-27 00:00:00"
9;"7";1;"2024-04-27 00:00:00";"2025-01-15 15:13:44"
10;"8";1;"2024-04-27 00:00:00";"2024-04-27 00:00:00"
11;"9";1;"2024-04-27 00:00:00";"2024-04-27 00:00:00"
12;"10";1;"2024-04-27 00:00:00";"2024-04-27 00:00:00"
