"id_previa";"id_alumno";"id_materia";"id_condicion";"id_calificacion";"createdAt";"updatedAt";"id_curso";"id_ciclo";"id_plan"
1;77;222;1;1;"2024-09-02 00:00:00";"2024-09-02 00:00:00";17;56;5
2;266;220;1;1;"2024-09-02 00:00:00";"2025-06-30 14:15:16";17;56;5
3;328;224;1;1;"2024-09-02 00:00:00";"2025-04-25 13:05:48";17;56;5
4;332;225;1;1;"2024-09-02 00:00:00";"2024-09-02 00:00:00";17;54;5
5;332;218;1;1;"2024-09-02 00:00:00";"2024-09-02 00:00:00";17;54;5
6;332;220;1;1;"2024-09-02 00:00:00";"2024-09-02 00:00:00";17;54;5
7;387;226;1;1;"2024-09-02 00:00:00";"2024-09-02 00:00:00";17;54;5
8;425;224;1;9;"2024-09-02 00:00:00";"2025-02-22 13:05:42";17;56;5
9;425;220;1;9;"2024-09-02 00:00:00";"2025-02-17 13:48:12";17;56;5
10;748;224;1;1;"2024-09-02 00:00:00";"2024-09-02 00:00:00";17;55;5
11;748;219;1;1;"2024-09-02 00:00:00";"2024-09-02 00:00:00";17;55;5
12;115;224;1;1;"2024-09-02 00:00:00";"2024-09-02 00:00:00";17;54;5
13;161;224;1;1;"2024-09-02 00:00:00";"2024-09-02 00:00:00";17;56;5
14;161;220;1;1;"2024-09-02 00:00:00";"2025-04-25 12:42:19";17;56;5
15;186;223;1;1;"2024-09-02 00:00:00";"2025-04-25 12:30:12";17;56;5
16;186;220;1;1;"2024-09-02 00:00:00";"2024-09-02 00:00:00";17;56;5
17;205;226;1;1;"2024-09-02 00:00:00";"2024-09-02 00:00:00";17;54;5
18;205;219;1;1;"2024-09-02 00:00:00";"2024-09-02 00:00:00";17;54;5
19;303;221;1;1;"2024-09-02 00:00:00";"2025-02-18 13:00:19";17;56;5
20;303;222;1;1;"2024-09-02 00:00:00";"2025-02-18 13:00:24";17;56;5
21;303;219;3;1;"2024-09-02 00:00:00";"2024-09-02 00:00:00";17;56;5
