"id_calificacion";"calificacion";"aprobado";"createdAt";"updatedAt"
1;"10";1;"2024-04-27 22:09:00";"2024-04-27 22:09:00"
2;"9";1;"2024-04-27 22:09:00";"2024-04-27 22:09:00"
3;"8";1;"2024-04-27 22:09:00";"2024-04-27 22:09:00"
4;"7";1;"2024-04-27 22:09:00";"2024-04-27 22:09:00"
5;"6";0;"2024-04-27 22:13:00";"2024-04-27 22:13:00"
6;"5";0;"2024-04-27 22:13:00";"2024-04-27 22:13:00"
7;"4";0;"2024-04-27 22:13:00";"2024-04-27 22:13:00"
8;"3";0;"2024-04-27 22:13:00";"2024-04-27 22:13:00"
9;"2";0;"2024-04-27 22:13:00";"2024-04-27 22:13:00"
10;"1";0;"2024-04-27 22:13:00";"2024-04-27 22:13:00"
11;"Aus.";0;"2024-04-27 22:14:00";"2024-04-27 22:14:00"
