id_ciclo;anio;createdAt;updatedAt
1;1968;2024-05-12;2024-05-12
2;1969;2024-05-12;2024-05-12
3;1970;2024-05-12;2024-05-12
4;1971;2024-05-12;2024-05-12
5;1972;2024-05-12;2024-05-12
6;1973;2024-05-12;2024-05-12
7;1974;2024-05-12;2024-05-12
8;1975;2024-05-12;2024-05-12
9;1976;2024-05-12;2024-05-12
10;1977;2024-05-12;2024-05-12
11;1978;2024-05-12;2024-05-12
12;1979;2024-05-12;2024-05-13
13;1980;2024-05-12;2024-05-12
14;1981;2024-05-12;2024-05-12
15;1982;2024-05-12;2024-05-14
16;1983;2024-05-12;2024-05-14
17;1984;2024-05-12;2024-05-14
18;1985;2024-05-12;2024-05-14
19;1986;2024-05-12;2024-05-14
20;1987;2024-05-12;2024-05-14
21;1988;2024-05-12;2024-05-14
22;1989;2024-05-12;2024-05-14
23;1990;2024-05-12;2024-05-14
24;1991;2024-05-12;2024-05-14
25;1992;2024-05-12;2024-05-14
26;1993;2024-05-12;2024-05-14
27;1994;2024-05-12;2024-05-14
28;1995;2024-05-12;2024-05-14
29;1996;2024-05-12;2024-05-14
30;1997;2024-05-12;2024-05-14
31;1998;2024-05-12;2024-05-14
32;1999;2024-05-12;2024-05-14
33;2000;2024-05-12;2024-05-14
34;2001;2024-05-12;2024-05-14
35;2002;2024-05-12;2024-05-14
36;2003;2024-05-12;2024-05-14
37;2004;2024-05-12;2024-05-14
38;2005;2024-05-12;2024-05-14
39;2006;2024-05-12;2024-05-14
40;2007;2024-05-12;2024-05-14
41;2008;2024-05-12;2024-05-14
42;2009;2024-05-12;2024-05-14
43;2010;2024-05-12;2024-05-14
44;2011;2024-05-12;2024-05-14
45;2012;2024-05-12;2024-05-14
46;2013;2024-05-12;2024-05-14
47;2014;2024-05-12;2024-05-14
48;2015;2024-05-12;2024-05-14
49;2016;2024-05-12;2024-05-14
50;2017;2024-05-12;2024-05-14
51;2018;2024-05-12;2024-05-14
52;2019;2024-05-12;2024-05-14
53;2020;2024-05-12;2024-05-14
54;2021;2024-05-12;2024-05-14
55;2022;2024-05-12;2024-05-14
56;2023;2024-05-12;2024-05-14
57;2024;2024-05-12;2024-05-14
