id_curso;id_plan;nombre;createdAt;updatedAt
1;1;1º;2024-09-04;2024-09-04
2;1;2º;2024-09-04;2024-09-04
3;1;3º;2024-09-04;2024-09-04
4;1;4º;2024-09-04;2024-09-04
5;1;5º;2024-09-04;2024-09-04
6;2;1º;2024-09-04;2024-09-04
7;2;2º;2024-09-04;2024-09-04
8;2;3º;2024-09-04;2024-09-04
9;2;4º;2024-09-04;2024-09-04
10;2;5º;2024-09-04;2024-09-04
11;3;1º;2024-09-04;2024-09-04
12;3;2º;2024-09-04;2024-09-04
13;3;3º;2024-09-04;2024-09-04
14;4;4º;2024-09-04;2024-09-04
15;4;5º;2024-09-04;2024-09-04
16;4;6º;2024-09-04;2024-09-04
17;5;1º;2024-09-04;2024-09-04
18;5;2º;2024-09-04;2024-09-04
19;5;3º;2024-09-04;2024-09-04
20;6;4º;2024-09-04;2024-09-04
21;6;5º;2024-09-04;2024-09-04
22;6;6º;2024-09-04;2024-09-04
