id_division;nombre;id_curso;createdAt;updatedAt
1;A;1;2024-04-27;2024-04-27
2;A;2;2024-04-27;2024-04-27
3;A;3;2024-04-27;2024-04-27
4;A;4;2024-04-27;2024-04-27
5;A;5;2024-04-27;2024-04-27
6;A;6;2024-04-27;2024-04-27
7;B;1;2024-04-27;2024-04-27
8;B;2;2024-04-27;2024-04-27
9;B;3;2024-04-27;2024-04-27
10;B;4;2024-04-27;2024-04-27
11;B;5;2024-04-27;2024-04-27
12;B;6;2024-04-27;2024-04-27
13;C;1;2024-04-27;2024-04-27
14;C;2;2024-04-27;2024-04-27
15;C;3;2024-04-27;2024-04-27
16;C;4;2024-04-27;2024-04-27
17;C;5;2024-04-27;2024-04-27
18;C;6;2024-04-27;2024-04-27
