id_fechaExamen;fechaExamen;id_turno;id_materia;createdAt;updatedAt
1;2024-04-17 08:00:00;1;225;2024-04-17 08:00:00;2024-04-17 08:00:00
2;2024-04-17 08:00:00;1;235;2024-04-17 08:00:00;2024-04-17 08:00:00
3;2024-04-18 08:00:00;1;258;2024-04-18 08:00:00;2024-04-18 08:00:00
4;2024-04-18 08:00:00;1;272;2024-04-18 08:00:00;2024-04-18 08:00:00
5;2024-04-19 08:00:00;1;221;2024-04-19 08:00:00;2024-04-19 08:00:00
6;2024-04-19 08:00:00;1;232;2024-04-19 08:00:00;2024-04-19 08:00:00
7;2024-04-19 08:00:00;1;281;2024-04-19 08:00:00;2024-04-19 08:00:00
8;2024-04-19 08:00:00;1;207;2024-04-19 08:00:00;2024-04-19 08:00:00
9;2024-04-22 13:00:00;1;223;2024-04-22 13:00:00;2024-04-22 13:00:00
10;2024-04-29 13:00:00;1;233;2024-04-29 13:00:00;2024-04-29 13:00:00
11;2024-04-22 13:00:00;1;237;2024-04-22 13:00:00;2024-04-22 13:00:00
12;2024-04-22 13:00:00;1;243;2024-04-22 13:00:00;2024-04-22 13:00:00
13;2024-04-29 13:00:00;1;244;2024-04-29 13:00:00;2024-04-29 13:00:00
14;2024-04-23 08:00:00;1;220;2024-04-23 08:00:00;2024-04-23 08:00:00
15;2024-04-23 08:00:00;1;230;2024-04-23 08:00:00;2024-04-23 08:00:00
16;2024-04-23 08:00:00;1;240;2024-04-23 08:00:00;2024-04-23 08:00:00
17;2024-04-23 08:00:00;1;265;2024-04-23 08:00:00;2024-04-23 08:00:00
18;2024-04-24 13:00:00;1;224;2024-04-24 13:00:00;2024-04-24 13:00:00
19;2024-04-24 13:00:00;1;234;2024-04-24 13:00:00;2024-04-24 13:00:00
20;2024-04-24 13:00:00;1;256;2024-04-24 13:00:00;2024-04-24 13:00:00
21;2024-04-24 13:00:00;1;187;2024-04-24 13:00:00;2024-04-24 13:00:00
22;2024-04-29 13:00:00;1;219;2024-04-29 13:00:00;2024-04-29 13:00:00
23;2024-04-29 13:00:00;1;229;2024-04-29 13:00:00;2024-04-29 13:00:00
24;2024-04-29 13:00:00;1;155;2024-04-29 13:00:00;2024-04-29 13:00:00
25;2024-04-29 13:00:00;1;239;2024-04-29 13:00:00;2024-04-29 13:00:00
