"id_inscripcion_curso";"id_ciclo";"id_plan";"id_curso";"id_division";"id_alumno";"createdAt";"updatedAt"
1;57;5;17;1;822;"2024-12-02";"2024-12-02"
2;57;5;17;1;70;"2024-12-02";"2024-12-02"
3;57;5;17;1;71;"2024-12-02";"2024-12-02"
4;57;5;17;1;823;"2024-12-02";"2024-12-02"
5;57;5;17;1;824;"2024-12-02";"2024-12-02"
6;57;5;17;1;825;"2024-12-02";"2024-12-02"
7;57;5;17;1;826;"2024-12-02";"2024-12-02"
8;57;5;17;1;827;"2024-12-02";"2024-12-02"
9;57;5;17;1;277;"2024-12-02";"2024-12-02"
10;57;5;17;1;828;"2024-12-02";"2024-12-02"
11;57;5;17;1;829;"2024-12-02";"2024-12-02"
12;57;5;17;1;830;"2024-12-02";"2024-12-02"
13;57;5;17;1;831;"2024-12-02";"2024-12-02"
14;57;5;17;1;832;"2024-12-02";"2024-12-02"
15;57;5;17;1;833;"2024-12-02";"2024-12-02"
16;57;5;17;1;834;"2024-12-02";"2024-12-02"
17;57;5;17;1;835;"2024-12-02";"2024-12-02"
18;57;5;17;1;836;"2024-12-02";"2024-12-02"
19;57;5;17;1;837;"2024-12-02";"2024-12-02"
20;57;5;17;1;838;"2024-12-02";"2024-12-02"
21;57;5;17;1;839;"2024-12-02";"2024-12-02"
22;57;5;17;1;840;"2024-12-02";"2024-12-02"
23;57;5;17;1;653;"2024-12-02";"2024-12-02"
24;57;5;17;1;841;"2024-12-02";"2024-12-02"
25;57;5;17;1;842;"2024-12-02";"2024-12-02"
26;57;5;17;1;843;"2024-12-02";"2024-12-02"
27;57;5;17;1;844;"2024-12-02";"2024-12-02"
28;57;5;17;1;845;"2024-12-02";"2024-12-02"
29;57;5;17;1;846;"2024-12-02";"2024-12-02"
30;57;5;17;1;847;"2024-12-02";"2024-12-02"
31;57;5;17;2;17;"2024-12-02";"2024-12-02"
32;57;5;17;2;848;"2024-12-02";"2024-12-02"
33;57;5;17;2;849;"2024-12-02";"2024-12-02"
34;57;5;17;2;850;"2024-12-02";"2024-12-02"
35;57;5;17;2;851;"2024-12-02";"2024-12-02"
36;57;5;17;2;852;"2024-12-02";"2024-12-02"
37;57;5;17;2;853;"2024-12-02";"2024-12-02"
38;57;5;17;2;854;"2024-12-02";"2024-12-02"
39;57;5;17;2;855;"2024-12-02";"2024-12-02"
40;57;5;17;2;234;"2024-12-02";"2024-12-02"
41;57;5;17;2;856;"2024-12-02";"2024-12-02"
42;57;5;17;2;857;"2024-12-02";"2024-12-02"
43;57;5;17;2;858;"2024-12-02";"2024-12-02"
44;57;5;17;2;859;"2024-12-02";"2024-12-02"
45;57;5;17;2;860;"2024-12-02";"2024-12-02"
46;57;5;17;2;861;"2024-12-02";"2024-12-02"
47;57;5;17;2;862;"2024-12-02";"2024-12-02"
48;57;5;17;2;863;"2024-12-02";"2024-12-02"
49;57;5;17;2;864;"2024-12-02";"2024-12-02"
50;57;5;17;2;865;"2024-12-02";"2024-12-02"
51;57;5;17;2;866;"2024-12-02";"2024-12-02"
52;57;5;17;2;867;"2024-12-02";"2024-12-02"
53;57;5;17;2;868;"2024-12-02";"2024-12-02"
54;57;5;17;2;869;"2024-12-02";"2024-12-02"
55;57;5;17;2;870;"2024-12-02";"2024-12-02"
56;57;5;17;2;871;"2024-12-02";"2024-12-02"
57;57;5;17;2;872;"2024-12-02";"2024-12-02"
58;57;5;17;2;873;"2024-12-02";"2024-12-02"
59;57;5;17;2;874;"2024-12-02";"2024-12-02"
60;57;5;17;2;875;"2024-12-02";"2024-12-02"
61;57;5;17;3;876;"2024-12-02";"2024-12-02"
62;57;5;17;3;877;"2024-12-02";"2024-12-02"
63;57;5;17;3;878;"2024-12-02";"2024-12-02"
64;57;5;17;3;879;"2024-12-02";"2024-12-02"
65;57;5;17;3;880;"2024-12-02";"2024-12-02"
66;57;5;17;3;881;"2024-12-02";"2024-12-02"
67;57;5;17;3;882;"2024-12-02";"2024-12-02"
68;57;5;17;3;883;"2024-12-02";"2024-12-02"
69;57;5;17;3;884;"2024-12-02";"2024-12-02"
70;57;5;17;3;885;"2024-12-02";"2024-12-02"
71;57;5;17;3;886;"2024-12-02";"2024-12-02"
72;57;5;17;3;887;"2024-12-02";"2024-12-02"
73;57;5;17;3;888;"2024-12-02";"2024-12-02"
74;57;5;17;3;889;"2024-12-02";"2024-12-02"
75;57;5;17;3;890;"2024-12-02";"2024-12-02"
76;57;5;17;3;891;"2024-12-02";"2024-12-02"
77;57;5;17;3;892;"2024-12-02";"2024-12-02"
78;57;5;17;3;893;"2024-12-02";"2024-12-02"
79;57;5;17;3;894;"2024-12-02";"2024-12-02"
80;57;5;17;3;895;"2024-12-02";"2024-12-02"
81;57;5;17;3;896;"2024-12-02";"2024-12-02"
82;57;5;17;3;897;"2024-12-02";"2024-12-02"
83;57;5;17;3;898;"2024-12-02";"2024-12-02"
84;57;5;17;3;899;"2024-12-02";"2024-12-02"
85;57;5;17;3;900;"2024-12-02";"2024-12-02"
86;57;5;17;3;901;"2024-12-02";"2024-12-02"
87;57;5;17;3;902;"2024-12-02";"2024-12-02"
88;57;5;17;3;903;"2024-12-02";"2024-12-02"
89;57;5;17;3;904;"2024-12-02";"2024-12-02"
90;57;5;17;3;905;"2024-12-02";"2024-12-02"
91;57;5;17;3;906;"2024-12-02";"2024-12-02"
92;57;5;17;3;907;"2024-12-02";"2024-12-02"
93;57;5;17;3;908;"2024-12-02";"2024-12-02"
94;57;5;17;3;909;"2024-12-02";"2024-12-02"
95;57;5;18;1;55;"2024-12-02";"2024-12-02"
96;57;5;18;1;68;"2024-12-02";"2024-12-02"
97;57;5;18;1;77;"2024-12-02";"2024-12-02"
98;57;5;18;1;100;"2024-12-02";"2024-12-02"
99;57;5;18;1;125;"2024-12-02";"2024-12-02"
100;57;5;18;1;147;"2024-12-02";"2024-12-02"
101;57;5;18;1;148;"2024-12-02";"2024-12-02"
102;57;5;18;1;153;"2024-12-02";"2024-12-02"
103;57;5;18;1;172;"2024-12-02";"2024-12-02"
104;57;5;18;1;181;"2024-12-02";"2024-12-02"
105;57;5;18;1;193;"2024-12-02";"2024-12-02"
106;57;5;18;1;216;"2024-12-02";"2024-12-02"
107;57;5;18;1;220;"2024-12-02";"2024-12-02"
