"id_previa";"id_alumno";"id_materia";"id_condicion";"id_calificacion";"createdAt";"updatedAt";"id_curso";"id_ciclo";"id_plan"
1;77;17;1;1;2024-09-02;2024-09-02;17;56;5
2;266;17;1;1;2024-09-02;2024-09-02;17;56;5
3;328;17;1;1;2024-09-02;2024-09-02;17;56;5
4;332;17;1;1;2024-09-02;2024-09-02;17;54;5
5;332;17;1;1;2024-09-02;2024-09-02;17;54;5
6;332;17;1;1;2024-09-02;2024-09-02;17;54;5
7;387;17;1;1;2024-09-02;2024-09-02;17;54;5
8;425;17;1;1;2024-09-02;2024-09-02;17;56;5
9;425;17;1;7;2024-09-02;2024-09-02;17;56;5
10;748;17;1;1;2024-09-02;2024-09-02;17;55;5
11;748;17;1;1;2024-09-02;2024-09-02;17;55;5
12;115;17;1;1;2024-09-02;2024-09-02;17;54;5
13;161;17;1;1;2024-09-02;2024-09-02;17;56;5
14;161;17;1;1;2024-09-02;2024-09-02;17;56;5
15;186;17;1;1;2024-09-02;2024-09-02;17;56;5
16;186;17;1;1;2024-09-02;2024-09-02;17;56;5
17;205;17;1;1;2024-09-02;2024-09-02;17;54;5
18;205;17;1;1;2024-09-02;2024-09-02;17;54;5
19;303;17;1;1;2024-09-02;2024-09-02;17;56;5
20;303;17;1;1;2024-09-02;2024-09-02;17;56;5
21;303;17;3;1;2024-09-02;2024-09-02;17;56;5
22;327;17;1;1;2024-09-02;2024-09-02;17;56;5
23;327;17;1;1;2024-09-02;2024-09-02;17;56;5
24;426;17;1;1;2024-09-02;2024-09-02;17;55;5
25;426;17;1;1;2024-09-02;2024-09-02;17;55;5
26;429;17;1;1;2024-09-02;2024-09-02;17;56;5
27;455;17;1;1;2024-09-02;2024-09-02;17;56;5
28;472;17;3;1;2024-09-02;2024-09-02;17;56;5
29;472;17;1;1;2024-09-02;2024-09-02;17;56;5
30;472;17;1;1;2024-09-02;2024-09-02;17;56;5
31;501;17;1;1;2024-09-02;2024-09-02;17;55;5
32;501;17;1;1;2024-09-02;2024-09-02;17;55;5
33;501;17;1;1;2024-09-02;2024-09-02;17;55;5
34;518;17;1;7;2024-09-02;2024-09-02;17;56;5
35;564;17;1;1;2024-09-02;2024-09-02;17;56;5
36;564;17;1;1;2024-09-02;2024-09-02;17;56;5
37;640;17;1;1;2024-09-02;2024-09-02;17;54;5
38;660;17;1;1;2024-09-02;2024-09-02;17;54;5
39;660;17;1;1;2024-09-02;2024-09-02;17;54;5
40;660;17;1;1;2024-09-02;2024-09-02;17;54;5
41;756;17;1;1;2024-09-02;2024-09-02;17;56;5
42;756;17;1;1;2024-09-02;2024-09-02;17;56;5
43;209;17;1;1;2024-09-02;2024-09-02;17;56;5
44;209;17;1;1;2024-09-02;2024-09-02;17;56;5
45;209;17;3;1;2024-09-02;2024-09-02;17;56;5
46;313;17;1;1;2024-09-02;2024-09-02;17;56;5
47;326;17;1;1;2024-09-02;2024-09-02;17;54;5
48;326;17;1;1;2024-09-02;2024-09-02;17;54;5
49;343;17;1;1;2024-09-02;2024-09-02;17;55;5
50;343;17;1;1;2024-09-02;2024-09-02;17;55;5
51;376;17;1;1;2024-09-02;2024-09-02;17;56;5
52;376;17;1;1;2024-09-02;2024-09-02;17;56;5
53;442;17;1;1;2024-09-02;2024-09-02;17;55;5
54;462;17;1;7;2024-09-02;2024-09-02;17;56;5
55;494;17;1;1;2024-09-02;2024-09-02;17;55;5
56;570;17;1;1;2024-09-02;2024-09-02;17;56;5
57;600;17;1;1;2024-09-02;2024-09-02;17;56;5
58;647;17;1;1;2024-09-02;2024-09-02;17;56;5
59;647;17;1;1;2024-09-02;2024-09-02;17;56;5
60;655;17;1;1;2024-09-02;2024-09-02;17;55;5
61;655;17;1;1;2024-09-02;2024-09-02;17;55;5
62;681;17;1;1;2024-09-02;2024-09-02;17;56;5
63;681;17;1;1;2024-09-02;2024-09-02;17;56;5
64;681;17;3;1;2024-09-02;2024-09-02;17;56;5
65;747;17;3;1;2024-09-02;2024-09-02;17;56;5
66;747;17;1;1;2024-09-02;2024-09-02;17;56;5
67;747;17;1;1;2024-09-02;2024-09-02;17;56;5
68;54;18;1;1;2024-09-02;2024-09-02;18;56;5
69;54;18;3;1;2024-09-02;2024-09-02;18;56;5
70;54;18;1;1;2024-09-02;2024-09-02;18;56;5
