id_turno;nombre;id_ciclo;createdAt;updatedAt
1;ABRIL;57;2024-06-04;2024-06-04
2;JULIO;57;2024-06-04;2024-06-04
3;SEPTIEMBRE;57;2024-06-04;2024-06-04
4;DICIEMBRE;57;2024-06-04;2024-06-04
5;FEBRERO;57;2024-06-04;2024-06-04
6;ABRIL;56;2024-06-04;2024-06-04
7;JULIO;56;2024-06-04;2024-06-04
8;SEPTIEMBRE;56;2024-06-04;2024-06-04
9;DICIEMBRE;56;2024-06-04;2024-06-04
10;FEBRERO;56;2024-06-04;2024-06-04
11;ABRIL;55;2024-06-04;2024-06-04
12;JULIO;55;2024-06-04;2024-06-04
13;SEPTIEMBRE;55;2024-06-04;2024-06-04
14;DICIEMBRE;55;2024-06-04;2024-06-04
15;FEBRERO;55;2024-06-04;2024-06-04
16;ABRIL;54;2024-06-04;2024-06-04
17;JULIO;54;2024-06-04;2024-06-04
18;SEPTIEMBRE;54;2024-06-04;2024-06-04
19;DICIEMBRE;54;2024-06-04;2024-06-04
20;FEBRERO;54;2024-06-04;2024-06-04
